,year,month,temperature
78041,1909,8,23.827
78042,1909,9,25.106
78043,1909,10,24.877
78044,1909,11,25.363000000000003
78045,1909,12,24.914
78046,1910,1,24.97300000000001
78047,1910,2,25.09
78048,1910,3,24.685
78049,1910,4,24.605
78050,1910,5,23.188
78051,1910,6,23.404
78052,1910,7,23.085
78053,1910,8,24.269
78054,1910,9,25.121
78055,1910,10,24.88000000000001
78056,1910,11,24.91
78057,1910,12,24.807
78058,1911,1,24.583
78059,1911,2,25.026000000000003
78060,1911,3,24.231
78061,1911,4,24.239
78062,1911,5,23.621
78063,1911,6,22.706
78064,1911,7,22.505
78065,1911,8,23.814
78066,1911,9,24.87
78067,1911,10,25.016
78068,1911,11,25.573
78069,1911,12,25.285
78070,1912,1,25.297
78071,1912,2,25.238000000000003
78072,1912,3,24.84
78073,1912,4,24.719
78074,1912,5,24.312
78075,1912,6,23.545
78076,1912,7,22.339
78077,1912,8,24.155
78078,1912,9,24.349
78079,1912,10,24.997
78080,1912,11,25.174
78081,1912,12,24.765
78082,1913,1,24.863000000000003
78083,1913,2,24.754
78084,1913,3,25.131
78085,1913,4,24.758000000000003
78086,1913,5,23.711
78087,1913,6,23.214
78088,1913,7,23.37
78089,1913,8,24.0
78090,1913,9,24.948
78091,1913,10,25.44100000000001
78092,1913,11,25.717
78093,1913,12,25.241
78094,1914,1,25.475
78095,1914,2,25.178
78096,1914,3,25.374
78097,1914,4,24.663
78098,1914,5,23.794
78099,1914,6,24.11
78100,1914,7,23.939
78101,1914,8,23.87
78102,1914,9,25.493
78103,1914,10,25.626
78104,1914,11,25.776
78105,1914,12,25.493
78106,1915,1,25.610000000000007
78107,1915,2,25.94100000000001
78108,1915,3,26.044
78109,1915,4,25.788
78110,1915,5,25.453000000000003
78111,1915,6,23.032
78112,1915,7,23.43
78113,1915,8,24.79
78114,1915,9,25.365
78115,1915,10,25.716
78116,1915,11,25.192
78117,1915,12,25.062
78118,1916,1,24.956000000000003
78119,1916,2,24.99
78120,1916,3,24.761
78121,1916,4,24.679
78122,1916,5,24.135
78123,1916,6,22.507
78124,1916,7,22.572
78125,1916,8,24.033
78126,1916,9,25.885
78127,1916,10,25.164
78128,1916,11,25.173
78129,1916,12,24.461
78130,1917,1,24.375
78131,1917,2,24.154000000000003
78132,1917,3,24.578000000000003
78133,1917,4,23.86
